Date,Downsize,T2123_Wkly,Breadth_Strength,V_And_M,Use_TLT,Sergy_Ratio,Primary_Asset
2016-03-10,0.0,True,1.0,,False,,DIA
2016-03-11,0.0,True,1.0,,False,,DIA
2016-03-14,0.0,True,1.0,,False,,DIA
2016-03-15,0.0,True,1.0,,False,,DIA
2016-03-16,0.0,True,1.0,,False,,DIA
2016-03-17,0.0,True,1.0,,False,,DIA
2016-03-18,0.0,True,1.0,,False,,DIA
2016-03-21,0.0,True,1.0,,False,,DIA
2016-03-22,0.0,True,1.0,,False,,DIA
2016-03-23,0.0,True,1.0,,False,,DIA
2016-03-24,0.0,True,1.0,,False,,DIA
2016-03-28,0.0,True,1.0,,False,,DIA
2016-03-29,0.0,True,1.0,,False,,DIA
2016-03-30,0.0,True,1.0,,False,,DIA
2016-03-31,0.0,True,1.0,,False,,DIA
2016-04-01,0.0,True,1.0,,False,,DIA
2016-04-04,0.0,True,1.0,,False,,DIA
2016-04-05,0.0,True,1.0,,False,,DIA
2016-04-06,0.0,True,1.0,,False,,DIA
2016-04-07,0.0,True,1.0,,False,,DIA
2016-04-08,0.0,True,1.0,,False,,DIA
2016-04-11,0.0,True,1.0,,False,,DIA
2016-04-12,0.0,True,1.0,,False,,DIA
2016-04-13,0.0,True,1.0,,False,,DIA
2016-04-14,0.0,True,1.0,,False,,DIA
2016-04-15,0.0,True,1.0,,False,,DIA
2016-04-18,0.0,True,1.0,,False,,DIA
2016-04-19,0.0,True,1.0,,False,,DIA
2016-04-20,0.0,True,1.0,,False,,DIA
2016-04-21,0.0,True,1.0,,False,,DIA
2016-04-22,0.0,True,1.0,,False,,DIA
2016-04-25,0.0,True,1.0,,False,,DIA
2016-04-26,0.0,True,1.0,,False,,DIA
2016-04-27,0.0,True,1.0,,False,,DIA
2016-04-28,0.0,True,1.0,,False,,DIA
2016-04-29,0.0,True,1.0,,False,,DIA
2016-05-02,0.0,True,1.0,,False,,DIA
2016-05-03,0.0,True,1.0,,False,,DIA
2016-05-04,0.0,True,1.0,,False,,DIA
2016-05-05,0.0,True,1.0,,False,,DIA
2016-05-06,0.0,True,1.0,,False,,DIA
2016-05-09,0.0,True,1.0,,False,,DIA
2016-05-10,0.0,True,1.0,,False,,DIA
2016-05-11,0.0,True,1.0,,False,,DIA
2016-05-12,0.0,True,1.0,,False,,DIA
2016-05-13,0.0,True,1.0,,False,,DIA
2016-05-16,0.0,True,1.0,,False,,DIA
2016-05-17,0.0,True,1.0,,False,,DIA
2016-05-18,0.0,True,1.0,,False,,DIA
2016-05-19,0.0,True,1.0,,False,,DIA
2016-05-20,0.0,True,1.0,,False,,DIA
2016-05-23,1.0,False,1.0,,False,,DIA
2016-05-24,1.0,False,1.0,,False,,DIA
2016-05-25,1.0,False,1.0,,False,,DIA
2016-05-26,1.0,False,1.0,,False,,DIA
2016-05-27,0.0,True,1.0,,False,,DIA
2016-05-31,0.0,True,1.0,,False,,DIA
2016-06-01,0.0,True,1.0,,False,,DIA
2016-06-02,0.0,True,1.0,,False,,DIA
2016-06-03,0.0,True,1.0,,False,,DIA
2016-06-06,0.0,True,1.0,,False,,DIA
2016-06-07,0.0,True,1.0,,False,,DIA
2016-06-08,0.0,True,1.0,,False,,DIA
2016-06-09,0.0,True,1.0,,False,,DIA
2016-06-10,1.0,True,1.0,,False,,DIA
2016-06-13,2.0,True,1.0,,False,,DIA
2016-06-14,1.0,True,1.0,,False,,DIA
2016-06-15,1.0,True,1.0,,False,,DIA
2016-06-16,1.0,True,1.0,,False,,DIA
2016-06-17,1.0,True,1.0,,False,,DIA
2016-06-20,1.0,True,1.0,,False,,DIA
2016-06-21,1.0,True,1.0,,False,,DIA
2016-06-22,1.0,True,1.0,,False,,DIA
2016-06-23,1.0,True,1.0,,False,,DIA
2016-06-24,2.0,True,1.0,,False,,DIA
2016-06-27,2.0,True,1.0,,False,,DIA
2016-06-28,1.0,True,1.0,,False,,DIA
2016-06-29,1.0,True,1.0,,False,,DIA
2016-06-30,1.0,True,1.0,,False,,DIA
2016-07-01,1.0,False,1.0,,False,,DIA
2016-07-05,2.0,False,1.0,,False,,DIA
2016-07-06,1.0,False,1.0,,False,,DIA
2016-07-07,1.0,False,1.0,,False,,DIA
2016-07-08,0.0,True,1.0,,False,,DIA
2016-07-11,0.0,True,1.0,,False,,DIA
2016-07-12,0.0,True,1.0,,False,,DIA
2016-07-13,0.0,True,1.0,,False,,DIA
2016-07-14,0.0,True,1.0,,False,,DIA
2016-07-15,0.0,True,1.0,,False,,DIA
2016-07-18,0.0,True,1.0,,False,,DIA
2016-07-19,0.0,True,1.0,,False,,DIA
2016-07-20,0.0,True,1.0,,False,,DIA
2016-07-21,0.0,True,1.0,,False,,DIA
2016-07-22,0.0,True,1.0,,False,,DIA
2016-07-25,0.0,True,1.0,,False,,DIA
2016-07-26,0.0,True,1.0,,False,,DIA
2016-07-27,0.0,True,1.0,,False,,DIA
2016-07-28,0.0,True,1.0,,False,,DIA
2016-07-29,0.0,True,1.0,,False,,DIA
2016-08-01,0.0,True,1.0,,False,,DIA
2016-08-02,0.0,True,1.0,,False,,DIA
2016-08-03,0.0,True,1.0,,False,,DIA
2016-08-04,0.0,True,1.0,,False,,DIA
2016-08-05,0.0,True,1.0,,False,,DIA
2016-08-08,0.0,True,1.0,,False,,DIA
2016-08-09,0.0,True,1.0,,False,,DIA
2016-08-10,0.0,True,1.0,,False,,DIA
2016-08-11,0.0,True,1.0,,False,,DIA
2016-08-12,0.0,True,1.0,,False,,DIA
2016-08-15,0.0,True,1.0,,False,,DIA
2016-08-16,0.0,True,1.0,,False,,DIA
2016-08-17,0.0,True,1.0,,False,,DIA
2016-08-18,0.0,True,1.0,,False,,DIA
2016-08-19,0.0,True,1.0,,False,,DIA
2016-08-22,0.0,True,1.0,,False,,DIA
2016-08-23,0.0,True,1.0,,False,,DIA
2016-08-24,0.0,True,1.0,,False,,DIA
2016-08-25,0.0,True,1.0,,False,,DIA
2016-08-26,0.0,True,1.0,,False,,DIA
2016-08-29,0.0,True,1.0,,False,,DIA
2016-08-30,0.0,True,1.0,,False,,DIA
2016-08-31,0.0,True,1.0,,False,,DIA
2016-09-01,0.0,True,1.0,,False,,DIA
2016-09-02,0.0,True,1.0,,False,,DIA
2016-09-06,0.0,True,1.0,,False,,DIA
2016-09-07,0.0,True,1.0,,False,,DIA
2016-09-08,0.0,True,1.0,,False,,DIA
2016-09-09,1.0,True,1.0,,False,,DIA
2016-09-12,1.0,True,1.0,,False,,DIA
2016-09-13,1.0,True,1.0,,False,,DIA
2016-09-14,1.0,True,1.0,,False,,DIA
2016-09-15,1.0,True,1.0,,False,,DIA
2016-09-16,2.0,False,1.0,,False,,DIA
2016-09-19,2.0,False,1.0,,False,,DIA
2016-09-20,2.0,False,1.0,,False,,DIA
2016-09-21,2.0,False,1.0,,False,,DIA
2016-09-22,1.0,False,1.0,,False,,DIA
2016-09-23,1.0,False,1.0,,False,,DIA
2016-09-26,2.0,False,1.0,,False,,DIA
2016-09-27,2.0,False,1.0,,False,,DIA
2016-09-28,2.0,False,1.0,,False,,DIA
2016-09-29,2.0,False,1.0,,False,,DIA
2016-09-30,2.0,False,1.0,,False,,DIA
2016-10-03,2.0,False,1.0,,False,,DIA
2016-10-04,2.0,False,1.0,,False,,DIA
2016-10-05,2.0,False,1.0,,False,,DIA
2016-10-06,2.0,False,1.0,,False,,DIA
2016-10-07,2.0,False,1.0,,False,,DIA
2016-10-10,2.0,False,1.0,,False,,DIA
2016-10-11,2.0,False,1.0,,False,,DIA
2016-10-12,2.0,False,1.0,,False,,DIA
2016-10-13,2.0,False,1.0,,False,,DIA
2016-10-14,2.0,False,1.0,,False,,DIA
2016-10-17,2.0,False,1.0,,False,,DIA
2016-10-18,2.0,False,1.0,,False,,DIA
2016-10-19,2.0,False,1.0,,False,,DIA
2016-10-20,1.0,False,1.0,,False,,DIA
2016-10-21,1.0,False,1.0,,False,,DIA
2016-10-24,1.0,False,1.0,,False,,DIA
2016-10-25,1.0,False,1.0,,False,,DIA
2016-10-26,1.0,False,1.0,,False,,DIA
2016-10-27,2.0,False,1.0,,False,,DIA
2016-10-28,2.0,False,1.0,,False,,DIA
2016-10-31,2.0,False,1.0,,False,,DIA
2016-11-01,2.0,False,1.0,,False,,DIA
2016-11-02,3.0,False,1.0,,False,,DIA
2016-11-03,3.0,False,1.0,,False,,DIA
2016-11-04,3.0,False,1.0,,False,,DIA
2016-11-07,2.0,False,1.0,,False,,DIA
2016-11-08,2.0,False,1.0,,False,,DIA
2016-11-09,2.0,False,1.0,,False,,DIA
2016-11-10,2.0,False,1.0,,False,,DIA
2016-11-11,0.0,True,1.0,,False,,DIA
2016-11-14,0.0,True,1.0,,False,,DIA
2016-11-15,0.0,True,1.0,,False,,DIA
2016-11-16,0.0,True,1.0,,False,,DIA
2016-11-17,0.0,True,1.0,,False,,DIA
2016-11-18,0.0,True,1.0,,False,,DIA
2016-11-21,0.0,True,1.0,,False,,DIA
2016-11-22,0.0,True,1.0,,False,,DIA
2016-11-23,0.0,True,1.0,,False,,DIA
2016-11-25,0.0,True,1.0,,False,,DIA
2016-11-28,0.0,True,1.0,,False,,DIA
2016-11-29,0.0,True,1.0,,False,,DIA
2016-11-30,0.0,True,1.0,,False,,DIA
2016-12-01,0.0,True,1.0,,False,,DIA
2016-12-02,0.0,True,1.0,,False,,DIA
2016-12-05,0.0,True,1.0,,False,,DIA
2016-12-06,0.0,True,1.0,,False,,DIA
2016-12-07,0.0,True,1.0,,False,,DIA
2016-12-08,0.0,True,1.0,,False,,DIA
2016-12-09,0.0,True,1.0,,False,,DIA
2016-12-12,0.0,True,1.0,,False,,DIA
2016-12-13,0.0,True,1.0,,False,,DIA
2016-12-14,0.0,True,1.0,,False,,DIA
2016-12-15,0.0,True,1.0,,False,,DIA
2016-12-16,0.0,True,1.0,,False,,DIA
2016-12-19,0.0,True,1.0,,False,,DIA
2016-12-20,0.0,True,1.0,,False,,DIA
